net,length_um
reg_next_pc\[16\],155.05
_05232_,154.88
_03412_,154.65
_03475_,154.55
_03274_,154.41
_03994_,154.41
_06042_,154.12
_03346_,153.92
_05889_,153.775
net263,153.7
_03757_,153.44
_02623_,153.3
_06006_,153.24
net288,152.78
_04050_,152.43
_03252_,152.165
net34,151.92
_05918_,151.91
_05868_,151.87
_07679_,151.76
_04203_,150.95
alu_out\[2\],150.885
_06999_,150.84
alu_out_q\[29\],150.52
_04345_,150.51
_03191_,150.48
_04458_,150.24
_07754_,149.9
_07901_,149.66
_05107_,149.495
_07677_,149.29
_06141_,149.27
_04777_,149.25
irq_pending\[16\],149.18
_05175_,149.145
reg_next_pc\[27\],148.99
is_beq_bne_blt_bge_bltu_bgeu,148.22
_05240_,148.17
alu_out_q\[17\],147.61
mem_rdata_q\[11\],147.405
_03379_,147.36
_01955_,147.32
alu_out\[4\],147.005
_03206_,146.995
_04946_,146.715
mem_rdata_q\[20\],146.145
_07968_,146.12
_04254_,146.11
reg_pc\[29\],145.33
_06336_,145.28
_08394_,145.215
_04120_,144.85
_06256_,144.72
_03862_,144.66
_07441_,144.26
net64,144.06
_04000_,143.78
irq_pending\[18\],143.72
_04806_,143.625
_08391_,143.455
_03320_,143.42
_03935_,142.85
_07952_,142.76
_06096_,142.52
reg_pc\[27\],142.52
_06862_,142.49
_06993_,142.49
_07959_,142.12
_02634_,142.11
_05957_,141.97
_03244_,141.82
_07971_,141.705
alu_out\[10\],141.535
_04613_,141.25
net35,141.03
_05170_,140.315
_06966_,140.1
_04468_,139.93
alu_out\[6\],139.905
_07950_,139.76
reg_next_pc\[20\],139.755
_06343_,139.735
_04250_,139.62
_04164_,139.55
_07284_,139.445
_07956_,139.42
alu_out_q\[13\],139.18
_06573_,139.1
_05498_,139.06
_05860_,138.72
_05461_,138.675
alu_out_q\[18\],138.11
_03605_,138
_07983_,137.88
mem_do_prefetch,137.76
net44,137.31
_05395_,137.22
_06942_,137.05
_01962_,136.8
_03677_,136.8
_03460_,136.71
reg_pc\[4\],136.68
_06544_,136.62
_06538_,136.015
_05211_,135.99
_04163_,135.98
_04460_,135.94
_07934_,135.935
_06563_,135.54
decoded_imm_j\[6\],135.29
_06296_,135.175
latched_store,135.1
_05331_,135.07
_07005_,135.01
_02560_,134.98
_06125_,134.9
_02457_,134.88
instr_lui,134.58
_03910_,134.18
_01876_,134.06
_01154_,133.7
reg_pc\[8\],133.18
_06542_,133.12
instr_rdinstrh,132.76
net38,132.64
net58,132.2
_06951_,132.18
_07392_,132.02
_04159_,131.78
_08395_,131.325
clknet_leaf_164_clk,131.26
alu_out_q\[27\],131.22
cpu_state\[3\],131.19
_07238_,131.06
_00865_,130.785
_06567_,130.64
reg_pc\[24\],130.505
_04112_,130.45
_04664_,130.26
_01869_,130.13
_05139_,130.09
_07964_,130.01
alu_out_q\[11\],129.93
_06248_,129.88
_07926_,129.88
_07943_,129.86
_06561_,129.42
_03756_,129.1
reg_next_pc\[15\],129.065
_04197_,129.06
_06961_,129.04
_01891_,128.77
_04707_,128.62
_06274_,128.62
net22,128.38
_04568_,128.16
_04426_,127.83
net21,127.8
_05322_,127.76
reg_next_pc\[22\],127.7
reg_next_pc\[26\],127.695
alu_out_q\[25\],127.68
_07972_,127.4
_06552_,127.38
_05176_,127.34
reg_next_pc\[18\],127.29
_05871_,127.28
reg_next_pc\[30\],127.27
mem_rdata_q\[10\],127.265
_03914_,126.98
_06297_,126.6
_05236_,126.245
_07001_,126.02
_03425_,125.68
_06252_,125.6
_02770_,125.375
net59,125.22
instr_and,125.2
_06596_,125.11
net20,124.73
_06041_,124.7
decoded_imm_j\[11\],124.565
_06157_,124.54
irq_pending\[10\],124.51
_03361_,124.36
net62,124.24
alu_out_q\[30\],124.12
reg_pc\[5\],123.915
_07190_,123.86
clknet_leaf_35_clk,123.68
_03799_,123.66
_06068_,123.54
_06232_,123.41
_03332_,123.35
alu_out_q\[26\],123.32
alu_out_q\[19\],123.22
_05295_,122.8
_06963_,122.74
irq_pending\[14\],122.6
net155,122.3
_03340_,122.195
