net,length_um
_0721_,5.38
net27,5.38
_0007_,5.365
net131,5.34
_0123_,5.34
_0184_,5.34
_0187_,5.34
_0279_,5.34
_0289_,5.34
_0380_,5.34
buffer\[7\],5.34
_0137_,5.32
flash_clk,5.29
flash_io1_oe,5.29
flash_io3_do,5.29
flash_io3_oe,5.29
_0268_,5.28
_0736_,5.28
_0058_,5.265
_0106_,5.265
_0642_,5.26
_0025_,5.245
_0282_,5.22
_0532_,5.22
_0561_,5.22
_0730_,5.22
buffer\[14\],5.16
_0035_,5.085
_0100_,5.065
_0513_,5.06
_0126_,5.045
_0293_,5.02
_0443_,5
_0153_,4.965
flash_io2_di,4.95
_0441_,4.94
_0307_,4.92
_0562_,4.92
_0310_,4.88
_0381_,4.88
_0490_,4.88
_0024_,4.845
_0077_,4.845
_0086_,4.845
_0088_,4.845
_0112_,4.845
_0134_,4.845
_0165_,4.845
_0269_,4.8
_0469_,4.8
_0649_,4.8
_0681_,4.8
_0344_,4.78
_0190_,4.76
_0564_,4.76
_0653_,4.76
_0118_,4.705
_0105_,4.605
_0512_,4.54
_0169_,4.525
_0270_,4.46
_0341_,4.46
_0385_,4.46
_0639_,4.46
_0074_,4.425
_0135_,4.425
_0192_,4.42
_0281_,4.42
_0308_,4.42
_0560_,4.42
_0586_,4.42
_0618_,4.42
_0625_,4.42
_0716_,4.42
_0012_,4.385
_0056_,4.385
_0257_,4.36
_0386_,4.36
_0476_,4.36
_0148_,4.34
_0175_,4.34
_0529_,4.34
_0647_,4.34
_0742_,4.34
flash_io0_di,4.27
_0130_,4.24
_0329_,4.22
_0038_,4.165
_0113_,4.165
_0051_,4.12
_0415_,4.11
_0285_,4.08
_0370_,4.08
_0463_,4.08
_0155_,4.045
_0201_,4.02
_0252_,4.02
net129,4
_0242_,4
_0305_,4
_0576_,4
_0644_,4
flash_csb,3.93
flash_io0_do,3.93
flash_io0_oe,3.93
flash_io2_do,3.93
flash_io2_oe,3.93
_0295_,3.9
_0584_,3.9
_0697_,3.88
_0139_,3.865
_0312_,3.86
_0079_,3.805
_0132_,3.805
_0042_,3.78
_0501_,3.78
_0096_,3.755
_0172_,3.74
_0442_,3.74
_0245_,3.68
_0396_,3.66
_0037_,3.585
_0246_,3.56
_0745_,3.56
_0588_,3.54
_0661_,3.54
_0719_,3.54
_0506_,3.52
_0022_,3.465
_0069_,3.465
_0090_,3.465
_0164_,3.465
_0740_,3.44
_0746_,3.44
_0244_,3.42
_0261_,3.42
_0294_,3.42
_0659_,3.42
_0666_,3.42
_0145_,3.375
_0150_,3.345
_0109_,3.32
_0254_,3.32
xfer_io1_90,3.32
_0509_,3.3
_0152_,3.245
_0168_,3.245
_0052_,3.225
_0119_,3.225
_0389_,3.22
_0598_,3.22
_0019_,3.165
_0070_,3.165
_0138_,3.125
_0420_,3.1
xfer_io0_90,3.1
_0248_,3.08
_0300_,3.08
_0409_,3.08
_0615_,3.08
_0650_,3.08
_0739_,3.08
_0060_,3.045
_0089_,3.045
_0555_,2.98
_0723_,2.98
_0194_,2.96
_0230_,2.96
_0235_,2.96
_0239_,2.96
_0288_,2.96
_0301_,2.96
_0484_,2.96
_0494_,2.96
_0504_,2.96
_0600_,2.96
_0631_,2.96
_0714_,2.96
_0722_,2.96
_0747_,2.96
_0057_,2.945
_0073_,2.945
_0021_,2.885
_0129_,2.885
_0072_,2.88
_0097_,2.88
_0146_,2.88
_0068_,2.86
_0234_,2.86
_0241_,2.86
_0262_,2.86
xfer_io2_90,2.86
_0149_,2.835
_0006_,2.785
_0033_,2.785
_0039_,2.785
_0122_,2.785
_0147_,2.785
_0507_,2.76
_0589_,2.76
_0229_,2.74
_0493_,2.74
_0047_,2.715
_0066_,2.715
_0117_,2.715
_0141_,2.715
_0045_,2.705
_0309_,2.655
_0214_,2.64
_0297_,2.64
_0304_,2.64
_0390_,2.64
_0523_,2.64
_0102_,2.62
_0228_,2.62
_0284_,2.62
_0291_,2.62
_0630_,2.62
_0655_,2.62
_0658_,2.62
_0660_,2.62
_0114_,2.595
_0110_,2.585
_0000_,2.545
_0029_,2.545
_0034_,2.545
_0162_,2.545
_0166_,2.545
_0236_,2.53
_0633_,2.52
_0748_,2.52
_0193_,2.5
_0578_,2.5
_0597_,2.5
_0608_,2.5
_0643_,2.5
_0651_,2.5
_0718_,2.5
_0735_,2.5
_0737_,2.5
_0028_,2.485
_0071_,2.485
_0111_,2.485
_0167_,2.485
_0032_,2.425
_0049_,2.42
_0422_,2.4
_0574_,2.4
xfer_io3_90,2.4
_0078_,2.325
_0098_,2.325
_0161_,2.325
_0163_,2.325
_0225_,2.3
_0265_,2.3
_0272_,2.3
_0514_,2.3
_0662_,2.3
_0292_,2.18
_0124_,2.16
_0173_,2.16
_0286_,2.16
_0397_,2.16
_0580_,2.16
_0606_,2.16
_0652_,2.16
_0654_,2.16
_0749_,2.16
_0142_,2.145
_0107_,2.125
_0018_,2.085
_0026_,2.085
_0027_,2.085
_0031_,2.085
_0128_,2.085
_0210_,2.07
_0195_,2.06
_0250_,2.06
_0626_,2.06
_0632_,2.06
_0638_,2.06
_0640_,2.06
_0656_,2.06
_0717_,2.06
_0738_,2.06
_0750_,2.06
_0474_,2.04
_0601_,2.04
_0159_,2.035
_0002_,2.025
_0009_,2.025
_0043_,2.025
_0046_,2.025
_0053_,2.025
_0059_,2.025
_0062_,2.025
_0063_,2.025
_0064_,2.025
_0065_,2.025
_0067_,2.025
_0094_,2.025
_0095_,2.025
_0099_,2.025
_0104_,2.025
_0258_,1.94
_0602_,1.94
_0017_,1.915
_0061_,1.915
_0156_,1.865
_0549_,1.84
_0685_,1.84
_0227_,1.72
_0196_,1.7
_0253_,1.7
_0303_,1.7
_0579_,1.7
_0627_,1.7
_0708_,1.7
_0082_,1.685
_0144_,1.685
_0271_,1.6
_0567_,1.6
_0581_,1.6
_0093_,1.575
_0563_,1.48
_0020_,1.405
_0023_,1.405
_0030_,1.405
_0055_,1.405
_0091_,1.405
_0157_,1.405
_0727_,1.38
_0753_,1.38
_0765_,1.38
_0278_,1.26
_0566_,1.14
_0591_,1.14
_0605_,1.14
_0648_,1.14
_0410_,1.02
net130,0.92
_0421_,0.92
_0471_,0.92
_0621_,0.92
net128,0.92
_0741_,0.46
