net,length_um
clknet_6_30_0_clk,355.27
_09914_,354.91
_10535_,354.64
_09878_,354.6
_08399_,354.26
_09672_,354.02
_21424_,353.9
_10337_,353.29
_19707_,353.125
_12554_,352.86
_08224_,352.74
_10428_,352.68
_12165_,352.6
_08401_,352.25
_08363_,352.14
clknet_6_20_0_clk,352.09
_10646_,351.97
_10247_,351.88
_10650_,351.88
_09145_,351.85
_10356_,351.8
clknet_6_59_0_clk,351.36
_13693_,351.04
_21866_,350.85
_14728_,350.53
_10533_,350.44
_17432_,350.36
_09629_,349.8
_08330_,349.56
_10307_,349.54
_15204_,349.17
_15044_,349.06
_09496_,348.4
_16964_,347.66
_09614_,347.54
_10419_,347.4
_13835_,347.34
_10184_,347.24
clknet_6_37_0_clk,346.92
clknet_6_16_0_clk,346.17
_09924_,345.96
_22466_,345.82
_08662_,345.39
_15424_,345.305
_19800_,345.16
clknet_6_50_0_clk,345.08
_09645_,344.88
_10069_,344.63
_09722_,344.53
_12280_,344.48
_10507_,344.46
_08568_,343.92
_10261_,343.885
_12699_,343.49
_21426_,343.38
clknet_6_55_0_clk,343.31
_09634_,343.29
_09810_,343.12
_10478_,343.04
_19839_,342.94
clknet_6_36_0_clk,342.7
clknet_6_9_0_clk,342.2
_16019_,342.05
_08397_,341.99
_17063_,341.84
_17412_,341.32
_08467_,341.09
_19464_,341.01
_08426_,340.87
_10195_,340.87
_09936_,340.21
_10145_,340.14
_08334_,339.78
_14718_,339.705
_09912_,339.58
_08679_,339.16
_09937_,338.82
_10194_,338.52
_11719_,338.11
clknet_6_31_0_clk,338.02
_10248_,337.84
_21864_,337.455
_08920_,337.22
_08264_,336.62
_08356_,336.61
_12747_,336.44
_19857_,336.34
_11133_,336.12
_10023_,336
_18743_,335.875
_09289_,335.57
_10218_,334.72
clknet_6_5_0_clk,334.6
clknet_6_53_0_clk,334.57
_12722_,334.5
_10260_,334.28
_09058_,334.19
_15396_,334.14
_09917_,334.1
_12669_,333.72
clknet_6_7_0_clk,333.5
clknet_6_27_0_clk,333.5
_09146_,333.47
_17065_,332.92
clknet_6_40_0_clk,332.92
_15402_,332.82
_09725_,332.65
_10164_,332.37
_12510_,332.32
_22476_,332.2
_08921_,332.16
_15438_,331.64
_12611_,331.27
_10963_,330.98
_12625_,330.96
_21809_,330.62
_09382_,330.58
_20031_,330.465
_10622_,330.3
_11110_,330.1
_14700_,329.93
_15392_,329.84
_08780_,329.56
_19770_,328.57
_09805_,328.52
_08883_,328.5
_09323_,328.46
_18870_,328.345
_10090_,328.2
clknet_6_21_0_clk,327.72
_09283_,327.11
_09951_,327.02
_19345_,326.795
_10059_,326.74
_10430_,326.16
_10809_,326.15
_08235_,325.795
_09996_,325.63
_21811_,325.62
_10425_,325.3
_10167_,325.22
clknet_6_33_0_clk,325.17
_12395_,325.1
_10083_,324.74
_12816_,324.62
_12716_,324.24
_11461_,323.54
_10056_,323.35
_11598_,323.01
_19849_,322.63
_10859_,322.46
_19766_,322.42
clknet_6_51_0_clk,322.1
_10351_,320.76
_09380_,320.04
_13836_,319.755
_10670_,319.67
_12741_,319.61
_21868_,319.36
_09942_,318.795
_09946_,318.78
_10508_,318.62
_09648_,318.43
_19575_,318.1
_09398_,318.04
_09613_,317.94
_08888_,317.52
_09610_,317.18
_09061_,317.12
_09288_,317.08
_09164_,317.04
_09057_,316.82
_10087_,316.8
_12294_,316.8
_09134_,316.76
_09861_,316.31
_10810_,316.28
_09801_,316.03
_09667_,315.54
_12744_,315.52
_16734_,315.355
clknet_6_28_0_clk,315.34
_09133_,314.97
_09943_,314.7
_11355_,314.53
_12208_,314.5
_09693_,314.375
_09978_,314.1
_09391_,314.04
_10711_,314.02
clknet_6_44_0_clk,314.01
_09975_,313.905
_19762_,313.86
_10387_,313.6
_19855_,313.37
_12093_,313.16
_11949_,312.04
_11863_,311.58
_09375_,311.245
_10712_,311.13
_10230_,311.07
_08652_,310.87
_11556_,310.71
_09324_,310.46
_09865_,310.13
_11557_,309.785
clknet_6_22_0_clk,309.78
_09611_,309.7
_10531_,309.64
_09392_,309.31
_10662_,308.98
clknet_6_41_0_clk,308.62
_12524_,308.46
_21847_,308.16
_08885_,307.82
_11312_,306.76
_09789_,306.29
net65,306.29
_11257_,306.165
_14659_,306.15
_22505_,305.98
_10234_,305.46
_08886_,305.34
_13484_,304.98
_09661_,304.96
_21434_,304.8
_11403_,304.695
_11978_,304.42
_11402_,304.24
_10264_,304.18
_08777_,303.77
_09682_,303.71
_11132_,303.65
_10543_,303.52
_08651_,303.09
_10423_,303.08
_10502_,302.4
_09862_,302.24
_10040_,302.23
_11254_,302.12
_12728_,301.88
_13533_,301.8
_09939_,301.58
_09980_,301.52
net66,301.44
_10858_,301.19
_09165_,300.96
_10739_,300.92
_22497_,300.91
_09664_,300.82
clknet_6_62_0_clk,300.62
_12323_,300.46
_11352_,300.2
_16100_,300.18
_10088_,300.17
_10772_,300.14
_09934_,299.94
_10795_,299.7
_09053_,299.69
_15387_,299.27
_11390_,299.04
_09695_,298.88
_10406_,298.77
_09864_,298.35
_11242_,297.51
_10097_,297.49
_10321_,297.46
_10403_,297.37
_10443_,297.11
clknet_6_14_0_clk,296.44
_13486_,295.625
_12639_,295.18
_11273_,294.44
clknet_6_11_0_clk,294.04
_11526_,293.94
_10324_,293.75
_18408_,293.73
_10796_,293.435
_11179_,293.42
_09052_,293.26
_09960_,293.04
_13441_,292.98
_19433_,292.94
_19764_,292.88
_09680_,292.83
_10041_,292.04
_12438_,291.4
_18402_,291.2
_11080_,290.66
_10446_,290.44
_10445_,290.31
_09895_,290.28
_09692_,290
_09284_,289.77
_09800_,289.42
_10000_,288.94
_22488_,288.84
_09081_,288.44
clknet_6_57_0_clk,288.32
clknet_6_46_0_clk,287.44
_10693_,287.3
_12668_,287.12
_09033_,286.86
_12697_,286.7
_23835_,286.53
_10496_,285.82
_11316_,285.82
_10634_,285.71
_11529_,285.56
_13474_,285.5
_19097_,285.48
_08786_,285.22
_11299_,285.2
_09892_,285.18
_10363_,285.12
_12750_,285.03
_09666_,284.86
_19416_,284.82
_22474_,284.3
clknet_6_49_0_clk,284.22
_12821_,283.995
_09817_,283.7
clknet_6_32_0_clk,283.7
_13480_,283.59
_09989_,283.52
_10906_,283.52
_20087_,283.36
clknet_6_12_0_clk,282.94
_13323_,282.6
_11203_,282.41
_10495_,282.01
_19768_,281.86
_11459_,281.62
_08910_,281.56
_09681_,281.52
_11298_,281.36
_16364_,281.205
_09696_,281.18
_19738_,281.035
_16740_,281
_10121_,280.88
_19521_,280.84
_10229_,280.78
_18516_,280.67
_17927_,280.34
_11143_,280.02
_16738_,279.94
_08630_,279.56
_15031_,279.44
_16736_,279.265
_18405_,278.75
_16623_,278.41
_10742_,278.12
_09770_,277.7
_11175_,277.68
_09990_,277.62
_22495_,277.25
_13529_,276.84
clknet_6_45_0_clk,276.42
clknet_6_6_0_clk,275.94
_17647_,275.78
_10725_,275.08
_11362_,274.96
_12553_,274.96
_11423_,274.54
_15266_,274.21
_08767_,274.16
_18066_,273.9
_11515_,273.82
_11305_,273.71
_16766_,273.37
_10972_,272.84
_17119_,272.74
_21428_,272.18
_10740_,272.01
_08783_,271.74
_11276_,271.44
_09771_,270.87
_13482_,270.68
clknet_6_3_0_clk,270.17
_13469_,270.14
_16262_,270.065
_12774_,270.06
_11043_,269.9
_11552_,269.35
_09687_,269.27
_11369_,268.94
_16522_,268.585
_21813_,268.51
_11368_,268.1
_22499_,268.05
_18393_,267.88
_09699_,266.995
_10002_,266.92
_12698_,266.79
_08338_,266.52
_19772_,266.38
_16770_,266.18
_10318_,266.16
_11072_,265.88
_10315_,265.835
_11769_,265.73
_14143_,265.45
_15327_,265.28
_13437_,264.1
_20072_,263.9
_11087_,263.825
_13100_,263.72
_19130_,263.71
_11000_,263.58
_18396_,263.44
_10395_,263.34
_09993_,263.29
_11322_,263
_22503_,262.96
_11483_,262.57
_23833_,262.34
_17067_,262.02
_09415_,261.92
_11351_,261.88
_08637_,261.38
_22106_,261.055
_19757_,260.83
_11717_,260.77
_12713_,260.73
_11277_,260.53
_24129_,260.36
_09416_,260.34
_17808_,260.34
_10737_,260.145
_13457_,260.08
_09084_,259.97
_12738_,259.97
_19134_,259.82
_15651_,259.49
_11007_,259.445
_11626_,259.24
_16768_,259.1
_11084_,259
_08862_,258.85
net64,258.67
_23235_,258.555
_11884_,258.11
_11455_,258.08
_15113_,258.06
_22318_,257.87
_16761_,257.38
_19513_,257.37
_18371_,257.18
_10272_,256.96
clknet_6_8_0_clk,256.93
_08327_,256.56
_09690_,256.11
_13445_,256.03
_11550_,255.93
_15145_,255.44
_11042_,255.22
clknet_6_43_0_clk,254.94
_12786_,254.79
_14139_,254.72
_10945_,254.64
_19506_,254.55
_17197_,254.48
_08609_,254.44
_09923_,254.27
_10597_,254.26
_20089_,254.1
_08898_,254.005
_14373_,253.82
_15236_,253.5
_10973_,253.46
_17819_,253.44
_12711_,253.36
